success
          Index          Value         Parent  Right sibling
              0              P             -1             -1
              1             GO              0              2
              2             SL              0              3
              3           STOP              0             -1
              4             SL              2              5
              5              S              2             -1
              6             SL              4              7
              7              S              4             -1
              8             SS              5             -1
              9             SL              6             10
             10              S              6             -1
             11             SS              7             -1
             12            IOS              8             -1
             13             SL              9             14
             14              S              9             -1
             15             SS             10             -1
             16         IFSTMT             11             -1
             17          WSTMT             12             -1
             18             SL             13             19
             19              S             13             -1
             20             SS             14             -1
             21         IFSTMT             15             -1
             22       assuming             16             23
             23              (             16             24
             24           COND             16             25
             25              )             16             26
             26           then             16             27
             27             SL             16             28
             28   stopAssuming             16             29
             29              ;             16             -1
             30          write             17             31
             31              (             17             32
             32   WSTMTENDPART             17             -1
             33             SL             18             34
             34              S             18             -1
             35             SS             19             -1
             36             AS             20             -1
             37       assuming             21             38
             38              (             21             39
             39           COND             21             40
             40              )             21             41
             41           then             21             42
             42             SL             21             43
             43   stopAssuming             21             44
             44              ;             21             -1
             45             id             24             46
             46          RELOP             24             47
             47             id             24             -1
             48              S             27             -1
             49             id             32             50
             50              )             32             51
             51              ;             32             -1
             52             SL             33             53
             53              S             33             -1
             54             SS             34             -1
             55            IOS             35             -1
             56             id             36             57
             57              =             36             58
             58             id             36             59
             59              ;             36             -1
             60             id             39             61
             61          RELOP             39             62
             62             id             39             -1
             63              S             42             -1
             64              >             46             -1
             65             SS             48             -1
             66             SL             52             67
             67              S             52             -1
             68             SS             53             -1
             69            IOS             54             -1
             70          RSTMT             55             -1
             71              >             61             -1
             72             SS             63             -1
             73             AS             65             -1
             74             SL             66             75
             75              S             66             -1
             76              D             67             -1
             77            IOS             68             -1
             78          RSTMT             69             -1
             79           read             70             80
             80              (             70             81
             81             id             70             82
             82              )             70             83
             83              ;             70             -1
             84             AS             72             -1
             85             id             73             86
             86              =             73             87
             87             id             73             88
             88              ;             73             -1
             89             SL             74             90
             90              S             74             -1
             91              D             75             -1
             92           have             76             93
             93             id             76             94
             94             be             76             95
             95              T             76             96
             96              ;             76             -1
             97          RSTMT             77             -1
             98           read             78             99
             99              (             78            100
            100             id             78            101
            101              )             78            102
            102              ;             78             -1
            103             id             84            104
            104              =             84            105
            105             id             84            106
            106              ;             84             -1
            107              S             89             -1
            108              D             90             -1
            109           have             91            110
            110             id             91            111
            111             be             91            112
            112              T             91            113
            113              ;             91             -1
            114             ST             95             -1
            115           read             97            116
            116              (             97            117
            117             id             97            118
            118              )             97            119
            119              ;             97             -1
            120              D            107             -1
            121           have            108            122
            122             id            108            123
            123             be            108            124
            124              T            108            125
            125              ;            108             -1
            126             ST            112             -1
            127        integer            114             -1
            128           have            120            129
            129             id            120            130
            130             be            120            131
            131              T            120            132
            132              ;            120             -1
            133             ST            124             -1
            134        integer            126             -1
            135             ST            131             -1
            136        integer            133             -1
            137        integer            135             -1
